Sample,HMDB,KEGG ID,1N,2N,3N,4N,5N,6N,7N,8N,1V,2V,3V,4V,5V,6V,7V,8V
Label,,,abx + FMTCTR,abx + FMTCTR,abx + FMTCTR,abx + FMTCTR,abx + FMTCTR,abx + FMTCTR,abx + FMTCTR,abx + FMTCTR,abx + FMTDNBS,abx + FMTDNBS,abx + FMTDNBS,abx + FMTDNBS,abx + FMTDNBS,abx + FMTDNBS,abx + FMTDNBS,abx + FMTDNBS
Butyrate,HMDB0000039,C00246,5.5367,5.6043,20.1864,10.1881,1.2675,4.0248,6.0931,4.0326,13.312,7.9508,7.7467,6.3128,5.785,3.8129,4.0196,7.423
Acetate,HMDB0000042,C00033,33.6713,26.2236,33.02,21.6554,33.0096,25.428,31.0557,21.879,29.3046,20.4412,31.7213,28.6533,37.0955,19.344,20.4893,31.642
Propionate,HMDB0000237,C00163,5.8383,3.4671,7.176,2.7781,7.7623,3.9845,3.8792,4.2393,6.7678,4.03,4.8438,4.9127,13.0533,3.6647,4.6748,4.9881
Valerate,HMDB0000892,C00803,0.4342,0.3432,1.157,0.6474,0.0884,0.4316,0.5421,0.4654,1.1466,0.65,0.6188,0.3523,0.2431,0.1222,0.4277,0.6461
Isobutyrate,HMDB0001873,C02632,0.3354,0.1885,0.5148,0.4173,0.4511,0.403,0.1638,1.2402,1.1687,0.3614,1.313,0.3198,0.3757,0.2613,0.2639,0.3627
Isovalerate,HMDB0000718,C08262,0.3419,0.1625,0.6383,0.4862,0.0507,0.273,0.1937,0.2483,1.2207,0.3445,0.208,0.1417,0.0819,0.2067,0.3172,0.2899
2-Hydroxyisovalerate,HMDB0000407,NA,0,0.0273,0,0,0.0312,0.0091,0.0195,0,0,0,0,0,0.0663,0.0247,0,0.0234
Caproate,HMDB0000535,C01585,0.6019,0.2054,0.1417,0.3133,0,0.3549,0.1456,0.2275,1.3143,0.1131,0.0962,0.1443,0.0598,0.0897,0.1261,0.0546
Caprylate,HMDB0000482,C06423,0.1833,0.1768,0.234,0.182,0.0351,0.13,0.1768,0.1911,0.2951,0.2158,0.0858,0.1144,0.0507,0.0624,0.1274,0.0793
2- methylbutyrate,HMDB0002176,C18319,0.1521,0.1365,0.3822,0.2756,0.026,0.1677,0.1235,0.2028,0.5967,0.2977,0.1352,0.1131,0.1482,0.1625,0.1742,0.1846
5-Aminovalerate,HMDB0003355,C00431,0.0338,0.0728,0.0845,0.1976,0.481,0.1183,0.0455,0.1495,0.2379,0.1092,0.0728,0.0741,0.5863,0.4953,0.0975,0.1625
"unknown, Acetoin -like (structure CH3CH-CO-X)",HMDB0003243,C00466,0.0624,0.052,0.3757,0.0702,0.0338,0.0728,0.0429,0.3796,0.1521,0.4966,0.3913,0.2392,0.2379,0.0065,0.2535,0.0832
