Sample,HMDB,KEGG ID,1B,2B,3B,4B,5B,9B,10B,1R,2R,3R,4R,5R,9R,10R,11R
Label,,,DNBS + FMTCTR,DNBS + FMTCTR,DNBS + FMTCTR,DNBS + FMTCTR,DNBS + FMTCTR,DNBS + FMTCTR,DNBS + FMTCTR,DNBS + FMTDNBS,DNBS + FMTDNBS,DNBS + FMTDNBS,DNBS + FMTDNBS,DNBS + FMTDNBS,DNBS + FMTDNBS,DNBS + FMTDNBS,DNBS + FMTDNBS
Butyrate,HMDB0000039,C00246,6.1854,8.5098,5.4327,16.0771,9.3587,8.3174,6.3713,19.9199,9.4302,16.2045,9.1325,10.3597,17.2198,17.7398,19.1555
Acetate,HMDB0000042,C00033,26.312,32.201,30.0547,51.8232,43.9348,37.05,30.9608,44.3339,47.0808,41.8145,41.2321,36.3103,52.7579,47.8231,51.2642
Propionate,HMDB0000237,C00163,4.5253,4.615,5.3859,5.0323,4.29,4.9491,5.8058,6.9238,5.6771,4.6046,6.6807,5.2169,7.0096,4.6748,6.7444
Valerate,HMDB0000892,C00803,0.4901,0.3809,0.4121,0.7319,0.4004,0.5291,0.4797,1.157,0.6058,1.0465,0.5291,0.4758,0.9386,0.4953,1.0595
Isobutyrate,HMDB0001873,C02632,0.3627,0.4966,0.3341,0.3029,0.2743,0.3952,0.2886,0.4043,0.481,0.2548,0.4511,0.3419,0.2834,0.2262,0.4511
Isovalerate,HMDB0000718,C08262,0.3848,0.2587,0.3237,0.2275,0.1742,0.2769,0.3926,0.4121,0.2184,0.1963,0.3185,0.3029,0.3822,0.156,0.3198
2-Hydroxyisovalerate,HMDB0000407,NA,0.0169,0,0,0,0,0.0221,0.0182,0,0,0,0,0,0,0,0
Caproate,HMDB0000535,C01585,0.6812,0.1586,0.3744,0.2067,0.2639,0.3705,0.1157,0.2808,0.1885,0.533,0.4056,0.2171,0.7696,0.4043,1.1674
Caprylate,HMDB0000482,C06423,0.1157,0.1261,0.1911,0.1391,0.1014,0.2171,0.1781,0.3237,0.2197,0.3354,0.2197,0.1066,0.1261,0.143,0.2249
2- methylbutyrate,HMDB0002176,C18319,0.1326,0.2041,0.1157,0.0806,0.0533,0.1118,0.0832,0.2366,0.1274,0.1989,0.1144,0.0897,0.1547,0.0988,0.2132
5-Aminovalerate,HMDB0003355,C00431,0.1209,0.3445,0.0533,0.0611,0.0793,0.0923,0.1417,0.1586,0.1105,0.1157,0.0637,0.0455,0.0793,0.0598,0.1859
