"","feature","anovas.Timepoint DenDF","anovas.Timepoint F value","anovas.Timepoint Mean Sq","anovas.Timepoint NumDF","anovas.Timepoint Pr(>F)","anovas.Timepoint Sum Sq","anovas.Treatment DenDF","anovas.Treatment F value","anovas.Treatment Mean Sq","anovas.Treatment NumDF","anovas.Treatment Pr(>F)","anovas.Treatment Sum Sq","anovas.Treatment:Timepoint DenDF","anovas.Treatment:Timepoint F value","anovas.Treatment:Timepoint Mean Sq","anovas.Treatment:Timepoint NumDF","anovas.Treatment:Timepoint Pr(>F)","anovas.Treatment:Timepoint Sum Sq","coefs.(Intercept) 2.5 %","coefs.(Intercept) 97.5 %","coefs.(Intercept) df","coefs.(Intercept) Estimate","coefs.(Intercept) Pr(>|t|)","coefs.(Intercept) Std. Error","coefs.(Intercept) t value","coefs.TimepointD42 2.5 %","coefs.TimepointD42 97.5 %","coefs.TimepointD42 df","coefs.TimepointD42 Estimate","coefs.TimepointD42 Pr(>|t|)","coefs.TimepointD42 Std. Error","coefs.TimepointD42 t value","coefs.TreatmentDNBS + FMTDNBS 2.5 %","coefs.TreatmentDNBS + FMTDNBS 97.5 %","coefs.TreatmentDNBS + FMTDNBS df","coefs.TreatmentDNBS + FMTDNBS Estimate","coefs.TreatmentDNBS + FMTDNBS Pr(>|t|)","coefs.TreatmentDNBS + FMTDNBS Std. Error","coefs.TreatmentDNBS + FMTDNBS t value","coefs.TreatmentDNBS + FMTDNBS:TimepointD42 2.5 %","coefs.TreatmentDNBS + FMTDNBS:TimepointD42 97.5 %","coefs.TreatmentDNBS + FMTDNBS:TimepointD42 df","coefs.TreatmentDNBS + FMTDNBS:TimepointD42 Estimate","coefs.TreatmentDNBS + FMTDNBS:TimepointD42 Pr(>|t|)","coefs.TreatmentDNBS + FMTDNBS:TimepointD42 Std. Error","coefs.TreatmentDNBS + FMTDNBS:TimepointD42 t value","anovas.Timepoint Pr(>F).BH","anovas.Treatment Pr(>F).BH","anovas.Treatment:Timepoint Pr(>F).BH","coefs.(Intercept) Pr(>|t|).BH","coefs.TimepointD42 Pr(>|t|).BH","coefs.TreatmentDNBS + FMTDNBS Pr(>|t|).BH","coefs.TreatmentDNBS + FMTDNBS:TimepointD42 Pr(>|t|).BH"
"1","p-Cresol synthesis",15.793888562007,0.249670930030263,0.0370555756848865,1,0.62419601817645,0.0370555756848865,16.6125219547269,0.496439828623549,0.0736804386490741,1,0.490829260649711,0.0736804386490741,15.7938885615411,7.84895128268964,1.16492299791345,1,0.0129190326942517,1.16492299791345,0.29098323443891,1.06854759950561,26.8213875453121,0.679765416972261,0.00198247014091146,0.198361901341053,3.42689504575532,-0.748874244390008,0.0872768906539867,16.6380298131811,-0.33079867686801,0.139760502042349,0.213307780561135,-1.55080455104732,-0.774616046722724,0.297212730562614,26.0785566265799,-0.238701658080055,0.390637439383534,0.273430732845039,-0.872987668929427,0.241894199509454,1.36852149243775,15.7938885615411,0.805207845973603,0.0129190326942517,0.287410202895306,2.80159798734394,0.724067381084682,0.864535230757375,0.145151970384845,0.00338186082861366,0.368459505384375,0.622306359097427,0.145151970384845
"2","Inositol synthesis",15.7437333904446,0.0489397997616807,0.0187912877291643,1,0.827762146620034,0.0187912877291643,16.0842011102508,0.221389688118777,0.0850064231968369,1,0.644300445572496,0.0850064231968369,15.743733391678,0.475586679864134,0.182609781507164,1,0.500467558029793,0.182609781507164,-0.756952141112433,0.27040844593539,29.3782568596255,-0.243271847588521,0.360861721622268,0.262086598312906,-0.928211702370521,-0.551848731050732,0.765995235042806,16.8088009054141,0.107073251996037,0.754036899872295,0.33619086281394,0.318489476780619,-0.416158450571755,0.992320914610648,29.1713765938433,0.288081232019446,0.429176799377536,0.359312562958378,0.801756636749761,-1.21134794798671,0.580775842135673,15.743733391678,-0.315286052925521,0.500467558029793,0.457182837097628,-0.689627928570279,0.889077861184481,0.864535230757375,0.806419828204162,0.402499612578684,0.950742178099851,0.622306359097427,0.806419828204162
"3","Inositol degradation",12.3771545880103,6.44739253173808,0.807089867700817,1,0.0254665933955839,0.807089867700817,12.8548357770264,0.158245452205859,0.0198092950687234,1,0.697304295193815,0.0198092950687234,12.3771545872148,6.84498884128312,0.856861298754438,1,0.0220595368423482,0.856861298754438,-1.03362859410868,-0.413904952138778,28.0965492925954,-0.723766773123728,8.72286595184637e-05,0.1580956708537,-4.57803031047887,-0.368546806820439,0.388748775937184,13.377146454222,0.0101009845583723,0.959074407084899,0.193191198596269,0.0522849106572466,-0.151504428980563,0.699177287672589,27.5293386186408,0.273836429346013,0.217595308662453,0.217014629698102,1.26183395896838,-1.19875261191783,-0.171925676581286,12.3771545872148,-0.68533914424956,0.0220595368423482,0.261950460170704,-2.61629295784763,0.123088534745322,0.864535230757375,0.153609090345062,0.000200657510577011,0.959074407084899,0.581226349180901,0.153609090345062
"4","g-Hydroxybutyric acid (GHB) degradation",15.0898196556729,14.3575770977155,2.12651866918796,1,0.0017654306297808,2.12651866918796,15.4666749837675,3.12612407995423,0.463014140406634,1,0.0967626977409149,0.463014140406634,15.0898196567658,0.255243854777624,0.0378044859996944,1,0.620705345093601,0.0378044859996944,-1.10710529543667,-0.460890620434744,29.1818828646461,-0.783997957935705,4.93130840544013e-05,0.164853711624086,-4.75571917800338,-0.876484382282697,-0.0567464823476336,16.1499353678166,-0.466615432315165,0.0401731807135913,0.209120653849013,-2.23132160179677,-0.682183712770262,0.203985804761422,28.9149376505828,-0.23909895400442,0.298974774564237,0.226067806480547,-1.05764265034789,-0.700559313797165,0.413412627740655,15.0898196567658,-0.143573343028255,0.620705345093601,0.28418173760454,-0.505216641429817,0.0255987441318216,0.864535230757375,0.857164524176878,0.000143007943757764,0.291255560173537,0.619304890168777,0.857164524176878
"5","Quinolinic acid degradation",29.9999999999943,3.29012999074628,0.305495642010907,1,0.0797118559910855,0.305495642010907,29.9999999999943,1.35147086673221,0.125486975059531,1,0.25418589943286,0.125486975059531,29.9999999999943,0.354302234958055,0.032897724113891,1,0.556151605658043,0.032897724113891,0.595681165661783,1.04714716437669,29.9999999997752,0.821414165019235,6.20934431182766e-08,0.115172013944136,7.13206391804226,-0.0505838103612217,0.58788552797171,29.9999999997752,0.268650858805244,0.109499288927536,0.162877824125621,1.64940107867628,-0.113081264116111,0.505114014490767,29.9999999997128,0.196016375187328,0.223522698051202,0.157705775076257,1.24292452253283,-0.569884662128657,0.304375485072204,29.9999999999943,-0.132754588528227,0.556151605658043,0.223029645977404,-0.595232924961359,0.210149438521953,0.864535230757375,0.806419828204162,3.60141970086004e-07,0.352831042099837,0.581226349180901,0.806419828204162
"6","Propionate synthesis III",15.1009810030807,1.24197930984066,0.325249949924218,1,0.282513234139237,0.325249949924218,15.280197333294,0.0333719036372155,0.00873944509451831,1,0.857450981495099,0.00873944509451831,15.1009810053022,3.32043379213747,0.869556292977176,1,0.0882864631767285,0.869556292977176,-0.393031396323292,0.409428394627134,29.8087769644228,0.00819849915192118,0.968321282210073,0.204712891991926,0.040048768165732,0.0119457299259231,1.09260769103036,16.2085555811336,0.552276710478142,0.062158801752256,0.275684137471036,2.00329520423048,-0.168904971670617,0.930278978910954,29.7415336405321,0.380687003620168,0.184799175067039,0.280409221611161,1.35761228333661,-1.42257769242648,0.0518146477953838,15.1009810053022,-0.685381522315548,0.0882864631767285,0.376127406383914,-1.82220574912315,0.455160210557659,0.920800092960488,0.284478603569458,0.986406364091799,0.293727410409113,0.581226349180901,0.284478603569458
"7","Isovaleric acid synthesis I (KADH pathway)",29.9999999995573,0.0165759167303905,0.0135770129343966,1,0.898416725115399,0.0135770129343966,29.9999999995573,0.0288276890125249,0.0236122027491987,1,0.866317287727209,0.0236122027491987,29.9999999995573,1.27332332772624,1.04295452079053,1,0.268087650086331,1.04295452079053,-0.94549780187994,0.395389889963531,29.9999999996434,-0.275053955958204,0.427672232271856,0.342069472301589,-0.804087994486981,-0.531768903896585,1.36453265552761,29.9999999998501,0.416381875815512,0.396218657094252,0.483759287002715,0.86072120371133,-0.488068520655835,1.34801756910343,29.9999999997767,0.429974524223797,0.36595702223896,0.468397915533672,0.917968483557197,-2.04578844713076,0.550829402691371,29.9999999995573,-0.747479522219696,0.268087650086331,0.662414684735007,-1.12841629185609,0.930503036726664,0.920800092960488,0.518302790166906,0.459351656884586,0.675902415043136,0.622306359097427,0.518302790166906
"8","Isovaleric acid synthesis II (KADC pathway)",29.9999999994962,2.33670152993211,0.620344010454727,1,0.136833393043193,0.620344010454727,29.9999999994962,0.162860585791999,0.0432359835610454,1,0.689398526381724,0.0432359835610454,29.9999999994962,1.8926933083596,0.502469375069364,1,0.179083699883293,0.502469375069364,0.394723931840095,1.15810914243896,29.999999999595,0.776416537139529,0.000395900831152105,0.194744703632402,3.98684289050081,-0.51096855381931,0.568621164324651,29.999999999595,0.0288263052526702,0.917336982044916,0.275410601077272,0.104666650956484,-0.858162489256627,0.187145760520453,29.9999999994962,-0.335508364368087,0.218037263889316,0.266665167835312,-1.25816343803587,-0.220318933399,1.25797017029623,29.9999999994962,0.518825618448615,0.179083699883293,0.377121496965196,1.37575190654405,0.283440599875184,0.864535230757375,0.432785608051291,0.000820080293100788,0.959074407084899,0.581226349180901,0.432785608051291
"9","S-Adenosylmethionine (SAM) synthesis",29.9999999995353,4.06183068381775,0.44994630858414,1,0.0528985779433736,0.44994630858414,29.9999999995353,2.02966647760226,0.224834812266411,1,0.164574963133778,0.224834812266411,29.9999999995353,1.95434108940839,0.216490697752843,1,0.172371379807815,0.216490697752843,0.867189817066941,1.36030514835702,29.9999999995329,1.11374748271198,7.2004047677306e-10,0.12579703892003,8.85352701680047,-0.273481811455314,0.423888577869223,29.9999999995349,0.0752033832069542,0.675514830078161,0.177903878547082,0.422719188705331,-0.33436255088067,0.340863425117359,29.9999999995342,0.00325043711834462,0.985069797699214,0.172254689709639,0.0188699484688848,-0.136902671786931,0.818011061136091,29.9999999995353,0.34055419467458,0.172371379807815,0.24360491836974,1.39797749960734,0.153405876035783,0.864535230757375,0.432785608051291,1.4237726270608e-08,0.932853812965079,0.985069797699214,0.432785608051291
"10","Butyrate synthesis I",29.9999999989838,2.68878838398995,0.756797990992394,1,0.111502476709035,0.756797990992394,29.9999999989838,0.243354636426722,0.0684956469772951,1,0.625385656853982,0.0684956469772951,29.9999999989838,0.000374400786500993,0.000105380462343957,1,0.984690465571102,0.000105380462343957,-0.389571389053741,0.396461540209618,29.9999999989362,0.00344507557793837,0.986406364091799,0.200522289048035,0.0171805119236051,-0.233686483484619,0.877931945551475,29.9999999989362,0.322122731033428,0.264987753199976,0.283581340729829,1.13590947205626,-0.630181686159777,0.446138229588734,29.9999999989838,-0.0920217282855212,0.739851249538232,0.27457645248545,-0.335140640985583,-0.768586686806202,0.753559535497609,29.9999999989838,-0.00751357565429632,0.984690465571102,0.388309743013215,-0.0193494389195396,0.248736294197077,0.864535230757375,0.984690465571102,0.986406364091799,0.548903203057093,0.831242671580466,0.984690465571102
"11","17-beta-Estradiol degradation",29.9999999997966,0.393947907640867,0.10745466949896,1,0.534980225251938,0.10745466949896,29.9999999997966,0.170229365192991,0.0464323831172777,1,0.68284184081991,0.0464323831172777,29.9999999997966,1.64060545667218,0.447497533825234,1,0.210056267010371,0.447497533825234,0.745780907040786,1.51956948362525,29.9999999996193,1.13267519533302,2.90585235153853e-06,0.197398672293984,5.73800817487837,-0.671999183260429,0.422303116154698,29.9999999996193,-0.124848033552865,0.657927655609626,0.279163879552595,-0.447221301527097,-0.853446638513708,0.20610700682411,29.9999999997966,-0.323669815844799,0.240507454833476,0.270299264092463,-1.19744985962699,-0.259594425128348,1.23884071017025,29.9999999997966,0.489623142520949,0.210056267010371,0.382260885179029,1.28086121678821,0.674540284013313,0.864535230757375,0.468587057176982,1.20385311706596e-05,0.932853812965079,0.581226349180901,0.468587057176982
"12","Butyrate synthesis II",29.999999999545,1.44000093423062,0.748089210684138,1,0.239530201965898,0.748089210684138,29.999999999545,0.296042723409949,0.153795988613617,1,0.59039532791508,0.153795988613617,29.999999999545,0.0293346063737176,0.0152395057573829,1,0.865158763847702,0.0152395057573829,-1.30005978533161,-0.232175058064412,29.9999999999592,-0.766117421698009,0.00859225580020617,0.272424579148018,-2.81221842791854,-1.11681487822942,0.393402186122943,29.9999999996882,-0.361706346053237,0.35530723899767,0.38526653455491,-0.938847041233696,-0.632789270035049,0.829472114813687,29.999999999545,0.0983414223893189,0.793869923002648,0.373032718045553,0.263626801704053,-0.943619969224733,1.12432991296281,29.999999999545,0.0903549718690405,0.865158763847702,0.52754792906892,0.171273484152444,0.434148491063191,0.864535230757375,0.929244598206791,0.0138430787892211,0.675902415043136,0.852675102484326,0.929244598206791
"13","Quinolinic acid synthesis",15.7933926526261,6.84609451307933,0.901070003675576,1,0.0188483916300737,0.901070003675576,16.0915332091538,1.72214786267045,0.226665842544492,1,0.207828472693228,0.226665842544492,15.7933926512604,0.0932399067608661,0.0122720600726756,1,0.764085633555833,0.0122720600726756,-0.0326459498456362,0.559914007474773,29.522454444607,0.263634028814568,0.0915641913390353,0.151166032129786,1.74400310109497,-0.0760677007602292,0.694078546755546,16.8694693577031,0.309005422997658,0.134333637367448,0.196469489641287,1.57279088759196,-0.239202674046219,0.572951560952682,29.3606687805179,0.166874443453232,0.427044921947483,0.207186009897393,0.805432970768027,-0.442449489150361,0.605754108742972,15.7933926512604,0.0816523097963055,0.764085633555833,0.267403790621009,0.30535210292524,0.123088534745322,0.864535230757375,0.868982009229386,0.110640064534668,0.368459505384375,0.622306359097427,0.868982009229386
"14","Propionate synthesis II",29.9999999997593,4.3372419665357,1.98755918396222,1,0.0459123076030453,1.98755918396222,29.9999999997593,0.019796156644596,0.00907167117944965,1,0.889048365617022,0.00907167117944965,29.9999999997593,0.425750371186517,0.195101879686684,1,0.519050499903295,0.195101879686684,-1.14777428434766,-0.14481737207158,30.0000000000617,-0.646295828209619,0.0170520588605229,0.255861056679427,-2.52596403922217,-1.38678149572866,0.0316137720880083,29.9999999996942,-0.677583861820327,0.0708997197539239,0.361842176439157,-1.87259503159179,-0.883180761583312,0.490174551065031,29.9999999999231,-0.196503105259141,0.579049528933385,0.350352180826075,-0.560873075759989,-0.647815080844977,1.29440262825945,29.9999999997593,0.323293773707238,0.519050499903295,0.495472805731226,0.652495495146531,0.147939657832035,0.920800092960488,0.806419828204162,0.0247254853477581,0.293727410409113,0.700775744453356,0.806419828204162
"15","GABA degradation",16.2691275257556,0.509505543783686,0.186986731800528,1,0.485468036777901,0.186986731800528,16.4858812144027,0.306135596320671,0.112350680659347,1,0.587487018126146,0.112350680659347,16.269127526481,0.162515345494271,0.0596425567732566,1,0.692099510937305,0.0596425567732566,-1.11991815516161,-0.15743383303785,29.7577830629181,-0.638675994099731,0.0143324639963657,0.245536226613273,-2.6011477121283,-0.709974057023654,0.571519283005267,17.3558703267435,-0.0692273870091935,0.834762664779659,0.326917573521039,-0.211757924982697,-0.708888468168094,0.609707409836618,29.6733656457103,-0.0495905291657381,0.883795335985558,0.336382680601692,-0.147422956131496,-1.05316749094823,0.693837653753821,16.269127526481,-0.179664918597206,0.692099510937305,0.445672767071795,-0.403131920708682,0.670408241264721,0.864535230757375,0.868982009229386,0.0218758660997161,0.959074407084899,0.9153594551279,0.868982009229386
